AAB ID,AAB Catalogue Number,Library Full Name,Library Sort,Category,Database ID,Department,Title Sort,Title for Print and Web,Full Title,Author (First Name Last Name),Year of Publication,Call Number,Item Record #,"Other contributors, if apply (please be specific such as: Illustrated by John H. Doe or Edited by Charles Smith)",Adoption Goal,Item Description,Note,Image for Print and Web,Image Filename,Conservation Blurb,Preservation Cost,Year,Adopt Status,Adopter ID
2020-032,32,"College of Education, Criminal Justice and Human Services Library",CECH,Build the Collection,2096,CECH Library,Comparative,"Comparative Hearts, Comparative Brains, Silkworm Life Cycle, Frog Skeleton","Comparative Hearts, Comparative Brains, Silkworm Life Cycle, Frog Skeleton",,2000,591.1 COM Model,i64121070,,400,"Teaching aids like these encased specimens are used by pre-service and in-service teachers when teaching science classes to pre-kindergarten through 12th grade. The College of Education, Criminal Justice, and Human Services Library has a unique teaching collection, known as mixed materials, containing models, kits, games, posters, card sets, and other non-print formats that assist in fully engaging students in the learning process. The mixed materials collection is an essential part of the library's collection as it enhances learning with the use of multiple senses. ",,2020-032,i64121070_2096_cechModels_001N,,,2020,0,
2020-033,33,"College of Education, Criminal Justice and Human Services Library",CECH,Build the Collection,2089,CECH Library,Deafo,El Deafo,El Deafo,Cece Bell,2014,GN BEL,i83846827, Color by David Lasky,75,"Cece is a typical kid, dealing with navigating the world of fickle friends and fitting in. She’s also dealing with The Phonic Ear, a hefty hearing aid device she wears strapped to her chest throughout the school day. At first, Cece hates The Phonic Ear, but she eventually comes to appreciate its benefits, imagining them as superpowers for her alter-ego, a superhero called El Deafo. This autobiographical graphic novel will appeal to middle school readers for its humor and wit, as well as its universal themes of friendship and acceptance. El Deafo was the winner of the John Newbery Medal (Honor), the Judy Lopez Memorial Award for Children’s Literature, and the Will Eisner Comic Industry Award. Other awards include the Horn Book Fanfare list, the New York Public Library’s 100 Titles for Reading and Sharing, and School Library Journal Best Books (Middle Grade). ",,2020-033,i83846827_2089_elDeafo_001N,,,2020,0,
2020-034,34,"College of Education, Criminal Justice and Human Services Library",CECH,Build the Collection,2090,CECH Library,Going,Going On A Bear Hunt,Going On A Bear Hunt,Michael Rosen,2007,E ROS,i6094724x, Illustrated by Helen Oxenbury,75,"This early childhood classic gives the traditional rhyme new life with distinguished illustrator Helen Oxenbury. A father and four children set out for adventure and encounter nature in its many forms – and, finally, a bear. Originally published in 1989, a pop-up edition was produced in 2007, giving even more movement and vibrancy to this lyrical, read-aloud favorite for young children. Going On A Bear Hunt was inducted into the Indies Choice Book Awards Picture Book Hall of Fame in 2018 and is also named among the 100 Best Children’s Books of All Time. ",,2020-034,i6094724x_2090_BearHunt_01N,,,2020,0,
2020-035,35,"College of Education, Criminal Justice and Human Services Library",CECH,Preserve for the Future,2266,CECH Library,Kindergarten 2,"The Kindergarten Children's Hour: Children's Occupations, Volume 2","The Kindergarten Children's Hour: Children's Occupations, Volume 2",Maude Cushing Nash,1920,TEXT 372.19 HM 1920 K TB v.2,i91215237,Edited by Lucy Wheelock,750,"A popular five-volume set written for mothers of young children, The Kindergarten Children’s Hour was crafted around the belief that “ideal mothers made for ideal children” and that kindergarten had the power to transform society (C. C. Ducharme, p.p. 169). “There are many ways of studying children,” author-editor Lucy Wheelock writes in preface of volume 4, empowering young mothers by concluding, “You only need the loving, watchful observation of one who wishes to know the meaning of all that she sees."" Children’s Hour brought early childhood education (or “training” as it was then known) to the masses for an initial payment of 50 cents and monthly installments of one dollar for 12 months. The volumes encompass topics such as occupations (i.e. crafts, songs, and games for children), talks to children (on food, clothing, shelter, and transportation, for example) and talks to mothers on topics ranging from teaching thrift or dealing with a dreamer. An important relic of the kindergarten movement, The Kindergarten Children’s Hour is also critical to historical studies in motherhood and early childhood education. ",,2020-035,CECH_2266-68_Kindergarten_01N,"This is a 20th century red cloth covered binding with an inlayed illustration on the front cover. The cloth is worn along the joints and the endcaps are frayed and torn. The boards are loose and there are detached pages in the front of the binding. Conservation staff will hinge on the loose boards, reattach the loose pages and repair the binding endcaps. The book will be stored in a cloth covered clamshell. ",$425 ,2020,0,
2020-036,36,"College of Education, Criminal Justice and Human Services Library",CECH,Preserve for the Future,2267,CECH Library,Kindergarten 3,"The Kindergarten Children's Hour: Talks to Children, Volume 3","The Kindergarten Children's Hour: Talks to Children, Volume 3",Alice Packard,1920,TEXT 372.19 HM 1920 K TB v.3,i91215250,Edited by Lucy Wheelock,575,"A popular five-volume set written for mothers of young children, The Kindergarten Children’s Hour was crafted around the belief that “ideal mothers made for ideal children” and that kindergarten had the power to transform society (C. C. Ducharme, p.p. 169). “There are many ways of studying children,” author-editor Lucy Wheelock writes in preface of volume 4, empowering young mothers by concluding, “You only need the loving, watchful observation of one who wishes to know the meaning of all that she sees."" Children’s Hour brought early childhood education (or “training” as it was then known) to the masses for an initial payment of 50 cents and monthly installments of one dollar for 12 months. The volumes encompass topics such as occupations (i.e. crafts, songs, and games for children), talks to children (on food, clothing, shelter, and transportation, for example) and talks to mothers on topics ranging from teaching thrift or dealing with a dreamer. An important relic of the kindergarten movement, The Kindergarten Children’s Hour is also critical to historical studies in motherhood and early childhood education. ",,2020-036,CECH_2266-68_Kindergarten_01N,"This is a 20th century red cloth covered binding with an inlayed illustration on the front cover. The cloth is worn along endcaps which are frayed. The boards are loose. Conservation staff will tighten the board hinges on the covers, consolidate the frayed cloth, and store the book in a cloth covered clamshell. ",$240 ,2020,0,
2020-037,37,"College of Education, Criminal Justice and Human Services Library",CECH,Preserve for the Future,2268,CECH Library,Kindergarten 4,"The Kindergarten Children's Hour: Talks to Mothers, Volume 4","The Kindergarten Children's Hour: Talks to Mothers, Volume 4",Lucy Wheelock,1920,TEXT 372.19 HM 1920 K TB v.4,i91215262,Edited by Lucy Wheelock,575,"A popular five-volume set written for mothers of young children, The Kindergarten Children’s Hour was crafted around the belief that “ideal mothers made for ideal children” and that kindergarten had the power to transform society (C. C. Ducharme, p.p. 169). “There are many ways of studying children,” author-editor Lucy Wheelock writes in preface of volume 4, empowering young mothers by concluding, “You only need the loving, watchful observation of one who wishes to know the meaning of all that she sees."" Children’s Hour brought early childhood education (or “training” as it was then known) to the masses for an initial payment of 50 cents and monthly installments of one dollar for 12 months. The volumes encompass topics such as occupations (i.e. crafts, songs, and games for children), talks to children (on food, clothing, shelter, and transportation, for example) and talks to mothers on topics ranging from teaching thrift or dealing with a dreamer. An important relic of the kindergarten movement, The Kindergarten Children’s Hour is also critical to historical studies in motherhood and early childhood education. ",,2020-037,CECH_2266-68_Kindergarten_01N,"This is a 20th century red cloth covered binding with an inlayed illustration on the front cover. The cloth is worn along endcaps which are frayed. The boards are loose. Conservation staff will tighten the board hinges on the covers, consolidate the frayed cloth, and store the book in a cloth covered clamshell. ",$240 ,2020,0,
2020-038,38,"College of Education, Criminal Justice and Human Services Library",CECH,Build the Collection,2088,CECH Library,Meanest,The Meanest Doll in the World,The Meanest Doll in the World,Ann M. Martin & Laura Godwin,2003,J MAR,i51961854,Illustrated by Brian Selznick,100,"In this sequel to The Doll People, The Meanest Doll in the World follows more misadventures of doll best friends Annabelle Doll and Tiffany Funcraft. After stowing away in Nora Palmer’s backpack, the dolls are accidentally transported to the Gordon residence, home of an evil doll called Princess Mimi. As the dolls become acquainted to their new surroundings, including some friendly trolls and a pet iguana, they wonder if they’ll ever make it back to the Palmer house – and if they’ll survive Princess Mimi. Readers won’t want to stop turning pages in this action-packed, suspenseful narrative, yet illustrator Brian Selznick’s detailed, lush illustrations can’t help but be savored. The Meanest Doll in the World was listed among Publishers Weekly Best Children’s Books, School Library Journal Best Books, and Kirkus Book Review Stars. ",,2020-038,i51961854_2088_meanestDoll_001N,,,2020,0,
2020-039,39,"College of Education, Criminal Justice and Human Services Library",CECH,Build the Collection,2093,CECH Library,National,National Parks of the USA,National Parks of the USA,Kate Siber,2018,j363.680973 SIB Oversize,i89251519,Illustrated by Chris Turnham,100,"This oversized book will electrify readers of all ages on a journey through our country’s national treasure – its National Parks. Organized by region, 21 parks are highlighted in the style of retro travel posters. Illustrator Chris Turnham uses muted tones to celebrate these national wonders, profiling the animals, plants, and geography unique to each park. Awards for National Parks of the USA include selection among Booklist Book Review Stars, Amazon Editors’ Picks: Best Books of the Year, and Notable Social Studies Trade Books for Young People. ",,2020-039,i89251519_2093_nationalParks_001N,,,2020,0,
2020-040,40,"College of Education, Criminal Justice and Human Services Library",CECH,Build the Collection,2095,CECH Library,Penguins,365 Penguins,365 Penguins,Jean-Luc Fromental ,2006,E FRO,i58890166,Illustrated by Joëlle Jolivet,100,"365 Penguins takes a humorous and mathematical look at what happens to Ted’s family when a penguin arrives in the mail on New Year’s Day – and the penguin shipments continue for an entire year. Ted, his sister, and his parents must share their home, care for the penguins, and perform all sorts of quantitative calculations to make it work. Acclaimed illustrator Joelle Jolivet’s bold illustrations are captivating in their use of a limited color palette and make good use of their oversized format, comically conveying challenges faced by family overrun by adorable, smelly birds. ",,2020-040,i58890166_2095_365Penguins_001N,,,2020,0,
2020-041,41,"College of Education, Criminal Justice and Human Services Library",CECH,Build the Collection,2094,CECH Library,Sit-In,Sit-In: How Four Friends Stood By Sitting Down,Sit-In: How Four Friends Stood By Sitting Down,Andrea Davis Pinkney,2010,j323.1196 PIN,i72146114, Illustrated by Brian Pinkney,75,"This story of the Greensboro Four – David, Joseph, Frankin, Ezell – and the 1960 Woolworth’s lunch counter sit-ins by husband-and-wife team Brian Pinkney and Andrea Davis Pinkney is lyrically told and beautifully illustrated. School-aged children will be drawn into this non-fiction title by evocative watercolor illustrations and tasty food metaphors: “Fold in change / Sprinkle with dignity /Bake until golden / Serve immediately.” Sit-In: How Four Friends Stood Up By Sitting Down was the winner of the Anne Izard Storytellers’ Choice Award, the Carter G. Woodson Book Award (Elementary), the Flora Stieglitz Straus Award, the Parents’ Choice Gold Award, and was listed among Booklist Book Review Stars, School Library Journal Book Review Stars, New York Public Library’s 100 Titles for Reading and Sharing, and Smithsonian Magazine’s Notable Books for Children. ",,2020-041,i72146114_2094_sitIn_001N,,,2020,0,
2020-042,42,"College of Education, Criminal Justice and Human Services Library",CECH,Build the Collection,2091,CECH Library,World,In My World,In My World,Lois Ehlert,2002,E EHL,i49354383,,75,"This bright, boldly colored book by author-illustrator Lois Ehlert engages readers with simple images of the magical things we encounter in our daily lives, from flora to fauna to the cosmos. Each page contains a boldly colored die-cut image layered atop another one, resulting in a pleasing combination of contrasting hues, shapes, and textures – and a lovely metaphor of the world’s interconnectedness. In My World was a Kirkus Book Review Star and a Children’s Cooperative Book Center Selected Book for Children and Teens About Our Earth and the Environment. ",,2020-042,i49354383_2091_InMyWorld_01N,,,2020,0,
2020-043,43,"Robert A. Deshon and Karl J. Schlachter Library for Design, Architecture, Art, and Planning",Deshon,Build the Collection,2099,DAAP Library,Alice's,Alice's Adventures in Wonderland (170/378),Alice's Adventures in Wonderland (170/378),Lewis Carroll ,2009,PR4611 .A7 2009,i64480811,Illustrations by John Vernon Lord,150,"British illustrator John Vernon Lord depicts the vast array of mad characters, objects, and places in Carroll’s children’s story. He chooses not to illustrate Alice herself, since, he says, one doesn’t see yourself in dreams. However when Alice speaks her words appear in blue lettering and thus, her presence is felt when reading about her adventures. ",,2020-043,i64480811_2099_aliceWonderland_001N,,,2020,0,
2020-044,44,"Robert A. Deshon and Karl J. Schlachter Library for Design, Architecture, Art, and Planning",Deshon,Build the Collection,2098,DAAP Library,Ancients,The Ancients Stole All Our Great Ideas: Ed Ruscha at the Kunsthistorisches Museum,The Ancients Stole All Our Great Ideas: Ed Ruscha at the Kunsthistorisches Museum,Ed Ruscha,2012,N1677.A5|bA52 2012,i79803489,,100,"Artist Ruscha is most well-known for his collection of sixteen photographic books in the 1960-70s of the built environment in Los Angeles, California. In 2012, Ruscha was invited by the Kunsthistorisches Museum in Vienna to curate objects from the museum. This book is composed of sculptures, paintings, and specimens from the collection that amused, confused, and engaged Ruscha.",,2020-044,i79803489_2098_ancientsStoleIdeas_001N,,,2020,0,
2020-045,45,"Robert A. Deshon and Karl J. Schlachter Library for Design, Architecture, Art, and Planning",Deshon,Build the Collection,2104,DAAP Library,Bad,"The Bad Sparrow, or, My Pathetic Fallacy (3/30)","The Bad Sparrow, or, My Pathetic Fallacy (3/30)",Jessica White,2013,N7433.4.W45 B33 2013,i88060585,,2100,"The bad sparrow said something bad. The animals gathered to right a wrong, even though most of them could not remember what was said. “It’s a matter of justice,” they say.  Mob mentality is examined in this beautifully printed scroll book or crankie.",,2020-045,i88060585_2104_BadSparrow_01N,,,2020,0,
2020-046,46,"Robert A. Deshon and Karl J. Schlachter Library for Design, Architecture, Art, and Planning",Deshon,Build the Collection,2097,DAAP Library,Balkrishna,Balkrishna Doshi: Architecture for the People,Balkrishna Doshi: Architecture for the People,,2019,NA1510.D67 A4 2019,i90468740,"Edited by Mateo Kries, Jolanthe Kugler, Khushnu Hoof",100,"Balkrishna Doshi was the 2018 Pritzker Prize winner, a prestigious award for architecture design. This book is a survey of the architect’s oeuvre.  ",,2020-046,i90468740_2097_balkrishnaDoshi_001N,,,2020,0,
2020-047,47,"Robert A. Deshon and Karl J. Schlachter Library for Design, Architecture, Art, and Planning",Deshon,Build the Collection,2106,DAAP Library,Fendi,Fendi by Karl Lagerfeld,Fendi by Karl Lagerfeld,Karl Lagerfeld,2015,TT505.F45 L33 2015,i8280218x,Designed by Karl Lagerfeld and Gerhard Steidl,1000,"This work highlights the artistic process of Karl Lagerfeld. For 54 years, Lagerfeld worked for Fendi as the creative director. This wooden box is modeled after the container of oil pastels used by him. Included in the box is a sketch pad of 130 fashion drawings, a pad of Fendi logo designs, booklets of exclusive interviews, a large poster, and a USB of his short films.  ",,2020-047,i8280218x_2106_Fendi_01N,,,2020,0,
2020-048,48,"Robert A. Deshon and Karl J. Schlachter Library for Design, Architecture, Art, and Planning",Deshon,Build the Collection,2105,DAAP Library,Nakazora,Nakazora ,Nakazora ,Masao Yamamoto ,2001,N7433.4 .Y35 N39 2001,i50705404,,3750,"Japanese photographer Masao Yamamoto is noted for his silver gelatin prints in black and white, and sometimes color. Nakazora is defined as “The space between sky and earth, the place where birds, etc. fly. Empty air. An internal hollow. Vague. Hollow. Around the center of the sky. Or, emptiness. A state when the feet do not touch the ground. Inattentiveness. The inability to decide between two things. Midway. The center of the sky (the zenith). A Buddhist term.” For Yamanoto’s series ‘Nakazora’, he created a scroll, over eighteen feet long, and printed in process color on uncoated Japanese stock. Interspersed throughout are his photographs exploring in-betweenness and emptiness.   ",,2020-048,i50705404_2105_Nazraeli_01N,,,2020,0,
2020-049,49,"Robert A. Deshon and Karl J. Schlachter Library for Design, Architecture, Art, and Planning",Deshon,Build the Collection,2102,DAAP Library,Raven,The Raven (6/30),The Raven (6/30),Edgar Allan Poe,2018,N7433.4.R44 R38 2018,i90117992,"Lithographs by James Reed, Handprinting by Eckhard Froeschlin",1300,These eight stone lithographs of the raven have a feathery form from the aquarellistic use of the lithographic ink.,,2020-049,i90117992_2102_theRaven_001N,,,2020,0,
2020-050,50,"Robert A. Deshon and Karl J. Schlachter Library for Design, Architecture, Art, and Planning",Deshon,Build the Collection,2100,DAAP Library,Senufo,Senufo Unbound: Dynamics of Art and Identity in West Africa,Senufo Unbound: Dynamics of Art and Identity in West Africa,Susan Elizabeth Gagliardi and Constantine Petridis,2014,NB1098 .G34 2014,i90501160,,150,"Exhibition catalog from the Cleveland Museum of Art for the 2015 exhibit, Senufo: Art and Identity in West Africa. The term “Senufo” was adopted by art connoisseurs in the 1920s and 1930s. This book contains 160 artworks created by artists in the northern Côte d’Ivoire, southern Mali, and Burkina Faso regions of West Africa.  ",,2020-050,i90501160_2100_Senufo_01N,,,2020,0,
2020-051,51,"Robert A. Deshon and Karl J. Schlachter Library for Design, Architecture, Art, and Planning",Deshon,Build the Collection,2103,DAAP Library,Spirit,Spirit House,Spirit House,Paul Johnson,2013,N7433.4.J634 S657 2013,i80514819,,3100,"Paul Johnson is a book artist, educator, and author. In Asia, spirit houses are intended to be shelters for spirits and are found in gardens, houses, businesses, schools, and other public spaces. They resemble small temples and are often colorful and are almost always mounted on a pedestal. This book is a 3D pop-up spirit house without folds, as all sections are joined with interlocking units, dovetail joints and piano hinges. ",,2020-051,i80514819_2103_Spirit_01N,,,2020,0,
2020-052,52,"Robert A. Deshon and Karl J. Schlachter Library for Design, Architecture, Art, and Planning",Deshon,Build the Collection,2101,DAAP Library,Thing 19,"THE THING, The Travel Issue #19","THE THING, The Travel Issue #19","David Shrigley, Artist",2013,NX1 .T45 Issue 19,i8035628x,Designed by Matt Singer,100,"Artist David Shrigley and designer Matt Singer created this gold foiled leather travel wallet. The wallet contains removable phrase cards and a 24-page passport book. The cards are designed to be used in all situations where phrases may be required.  Some examples of text on the cards: ""Can I have your shoes?” and, “Please help me."" THE THING Quarterly was an artist-run publication in the form of objects, which ran from 2007-2015. Each issue of THE THING was to be a useful object and means to provide access to art at an affordable price. ",,2020-052,i8035628x_2101_Thing_01N,,,2020,0,
2020-053,53,Elliston Poetry Room,Elliston,Preserve for the Future,2291,Elliston,Broadside,"Broadside Press, Broadside Series, numbers 1-33","Broadside Press, Broadside Series, numbers 1-33",Dudley Randall,1963-1969,nos. 1-33,notcat2291,,2250,"Born in turbulent years following the Birmingham Riots and assassination of Malcolm X, Dudley Randall's Broadside Press was the seminal venue for the Black Arts Movement and the oldest African-American owned press in the nation. Among its authors were Alice Walker, Gwendolyn Brooks, Leroi Jones, Jean Toomer, Nikki Giovanni, and Langston Hughes. Armed with a cylinder proof-press and $12 in cash, Randall worked out of his spare bedroom at 12651 Old Mill Place, Detroit. The poems' activist messaging is offset by modest design and striking resemblance to African American scriptural texts. Randall, a postal clerk, likely kept these prints petite to ensure both cheap postage and covert delivery. Redacted FBI/COINTELPRO documents opened during the Civil Rights Movement confirm that Randall and his authors were being monitored as ""risks to internal security."" ",,2020-053,notcat2291_2291_broadsidePress,"This is a Broadside Press collection of approximately 32 single poem broadside prints dating from the 1940s to the 1960s. The poems are printed on papers of varying thickness, color and size. Currently, the poems are grouped together in a gold Broadside Press folder within an acidic and aged pamphlet binder. The prints are accompanied by a small group of cataloging and provenance-related materials that are stored loose. As a result, the edges of the poems and loose materials are beginning to become creased and damaged. To preserve the broadsides for regular classroom use, conservation staff will first surface clean the posters to remove accumulated dirt. They will then re-house the posters in clear polyester sleeves within a new, archival cloth covered binding. The clear sleeves will serve to protect the posters during frequent handling while allowing flexibility of removal for exhibition. The accompanied materials will also be included in the new encapsulated binding. The binding will be housed in a cloth covered clamshell.",$900 ,2020,0,
2020-054,54,Elliston Poetry Room,Elliston,Preserve for the Future,2287,Elliston,Cosmic,The Cosmic Chef: An Evening of Concrete,The Cosmic Chef: An Evening of Concrete,,1970,N/A,i2380743x,"Edited by bpNichol with Michael Ondaatje, Margaret Avison and others",525,"""Concrete poetry"" or ""visual poetry"" is made by rearranging text into pictorial images on a page by playing with letters and typographical elements. The typewriter's ubiquity at the turn of the century– and the ability of a user to cleverly manipulate it– made such poetries popular among visionary modernists like Apollinaire and e.e. cummings. Among the post-war writers, Barrie Phillip Nichol, known simply as bpNichol, was at the conceptual forefront of this movement in Canada. Laboratory green and almost scientific in presentation, this boxed anthology is a collaborative yearbook of canonical visual writers and their linguistic experiments. Of particular note is a contribution by best-selling novelist and Man Booker Prizewinner Michael Ondaatje: an early section of his legendary hybrid-novel Billy the Kid.  ",,2020-054,i2380743x_2287_cosmicChef_001,"This is a boxed collection of poems and drawings published in 1970 by Oberon Press in Ottawa, Canada. It is numbered 502. The box consists of a tray with a hinged lid, covered in green paper. A title is printed on the box in red and black ink. The poems within the box are printed in black ink on loose sheets. The box is inherently acidic and the source of deterioration for the prints. The box is torn and punctured along the hinge of the lid due to its brittle nature. The prints on the top and bottom of the stack have discolored from light beige to dark beige from being in prolonged contact with the acidic sides of the box. Conservation staff will repair the box and wash discolored plates to reduce acid migration into the paper. The plates will be stored with the original box inside a new corrugated clamshell; however, the prints will be stored separately within the new enclosure to protect them from further acid migration.",$395 ,2020,0,
2020-055,55,Elliston Poetry Room,Elliston,Build the Collection,2159,Elliston,Lines,Lines for a Unitarian Church,Lines for a Unitarian Church,Karl Shapiro,1959-1960,N/A,notcat2159,,1000,"During Karl Shapiro's residence as the Elliston Poet, he was invited to compose a special poem for the dedication of a new church building then under construction not far from the University of Cincinnati campus: St. John's Unitarian Church. He worked on the poem over a period of many months, and when it was finished he gave the accumulated manuscript-worksheets (filled with notes, false starts, revisions, and final alterations) to the Reverend Clarke D. Wells, who generously presented them to the Elliston Poetry Collection, along with his correspondence with Shapiro. Together, these manuscripts compromise a singular document of Cincinnati's poetry history and make excellent documentation for the study of a master poet's mind and methods of composition. ",,2020-055,notcat2159_2159_linesUnitarianChurch_001N,,,2020,0,
2020-056,56,Elliston Poetry Room,Elliston,Preserve for the Future,2289,Elliston,Poems,Poems,Poems,Marianne Moore,1921,N/A,notcat2289,,1100,"Marianne Moore's first book was published by editor Harriet Weaver just one year before her Egoist Press in London would publish Joyce's Ulysses. Like Ulysses, Moore's Poems has achieved cult status as a quintessential modernist text from the period, containing her two most well-known verses. ""The Fish"" is written in almost mathematically fixed syllables that echo the precision of a swimming trout. ""Poetry,"" with its ironic aside in the first line (""I too dislike it"") has earned its place as a kind of poetry ""anti""-anthem.  Batik style papers with printer's thumbprints still visible on one page, the book is a testament to Moore's rise from obscurity to one of the most influential female voices of American poetry. ",,2020-056,notcat2289_2289_poemsMarianneMoore_001,"This is a semi-limp pamphlet dating to 1921. The pamphlet contains a single gathering sewn through the fold. The covers are highly decorated with red and black wood block printed paper that is drummed onto covers made of cardstock. While beautiful, the patterned cover paper is highly acidic and brittle. As a result, the spine edge of the cover paper has cracked and is fully separated. Also along the spine, the pamphlet sewing is pulling through the card stock covers, which are partially torn and in danger of further damage when handled. To repair, conservation staff will disbind the pamphlet, repair the cover boards, resew the pamphlet gathering using the original sewing holes, and as repair the decorative cover paper with a sympathetically colored kozo fiber tissue.",$300 ,2020,0,
2020-057,57,Elliston Poetry Room,Elliston,Build the Collection,2156,Elliston,Selection,A Selection of 65 Drawings from one Drawing-Book: 1952-1956,A Selection of 65 Drawings from one Drawing-Book: 1952-1956,"Robert Edward Duncan, Jess (Collins)",1970,N/A,i13470139,,325,"Robert Duncan was the foremost poet of the San Francisco Renaissance (1945-1960), a literary and print movement that would encompass the so-called ""Beat Generation"" of the same period. Jess, painter and Duncan's life-partner of 37 years, was also his closest collaborator. For Duncan, a medieval scholar with an interest in mysticism and the occult, poetry and drawing drew from the same magic: ""Not magic as abracadabra... but disturbance, passion, an entangling with the world."" This signed copy (1 of 300) sees the two collaborating on a tarot ""deck"" of sorts. A burnt ochre and black cloth slipcase encloses illustrated sheets in a secretly folded chemise: a book about the daily magic of a longer romance. ",,2020-057,i13470139_2156_selection65Drawings_001N,,,2020,0,
2020-058,58,Elliston Poetry Room,Elliston,Build the Collection,2158,Elliston,Self-Portrait,Self-Portrait in a Convex Mirror,Self-Portrait in a Convex Mirror,John Ashbery,1984,N/A,i14468839,"with Richard Avedon, Jim Dine, Elaine de Kooning and others",7100,"“No one now writing poems in the English language is likelier than John Ashbery to survive the severe judgment of time,” writes scholar Harold Bloom. “He is joining the American sequence that includes Whitman and Dickinson.” Ashbery's fame reached apogee with Self-Portrait in a Convex Mirror (1975) for which he won the Pulitzer Prize in Poetry. Just two years later he'd serve as the Elliston Poet-In-Residence at UC.  The title poem is a masterpiece of self-searching: 552 lines of free verse that continue to be the beau ideal for new generations of poets. This opulent 1984 edition is one of 150 produced by San Francisco's Arion Press, each handset letter cast from the historic molds of the nation's oldest typefoundry. Paper was purpose-made by the Twinrocker Mill of Indiana, with offset lithography from Richard Avedon, woodcuts from Jim Dine, and lithography from Willem and Elaine de Kooning, and soft-ground etching with aquatint from R.B. Kitaj– all of it signed by poet and artists.  ",,2020-058,i14468839_selfPortraitMirror_2158_001N,,,2020,0,
2020-059,59,Elliston Poetry Room,Elliston,Build the Collection,2155,Elliston,Song,Song of the Border Guard,Song of the Border Guard,Robert Edward Duncan,1952,N/A,i17539869,Linocuts by Cy Twombly,1700,"One of 200 prints run off a small Vandercook press at Black Mountain College in North Carolina, and one of the earliest linocuts of a 24-year-old Cy Twombly while enrolled in the school's graphics workshop. In these calligraphic strokes can be seen the seed of Twombly's mature Expressionist masterpieces. From 1933 to 1956, Black Mountain was the nexus of progressive education and artistic experimentation. Among its ""student body"" were Annie and Josef Albers, John Cage, Robert Motherwell, Martha Graham, Buckminster Fuller, and Willem De Kooning. This double-sided text is a veritable who's-who of the period's avant-garde. Printer Nicola Cernovich would become chief designer for the Alvin Ailey American Dance Theater and Dance Theater of Harlem. Robert Duncan was already established as the most influential poet of the San Francisco Renaissance and Allen Ginsberg's mentor.",,2020-059,i17539869_2155_songBorderGuard_001N,,,2020,0,
2020-060,60,Elliston Poetry Room,Elliston,Build the Collection,2157,Elliston,Ten,Ten Poems,Ten Poems,Rita Dove,1977,N/A,i1901062x,,525,"This is an inscribed copy (#35 of 200) of Pulitzer-Prize-winning Poet Laureate Rita Dove's first book prior to her major-label debut The Yellow House on the Corner. These ten poems were published in 1977 by Allan and Cinda Kornblum, a husband-wife team that handstitched these editions in their small living room in Lisbon, Iowa. The Kornblums clearly saw the vision in the young Dove's work. These guilefully crafted poems ""dovetail"" (one might say) the personal voice with an ambitious political one– addressing the African American experience by conjuring histories private and national. From childhood memories to reflections on slavery, and elegies for JFK to dreamed conversations with Haki Madhubuti, Dove's shaping of American verse begins with this small book. The hand outlines on the envelope are hers, as well.   ",,2020-060,i1901062x_2157_tenPoems_001N,,,2020,0,
2020-061,61,Elliston Poetry Room,Elliston,Preserve for the Future,2290,Elliston,Transit,In Transit: The Andy Warhol - Gerard Malanga Monster Issue,In Transit: The Andy Warhol - Gerard Malanga Monster Issue,Andy Warhol and Gerard Malanga,1968,N/A,notcat2290,,4100,"From 1965 to 1969, Bill Thomas' literary journal In Transit was the lynchpin between New York City's avant-garde and the ""out-there"" artists of the West Coast. Curated by Andy Warhol and right-hand studio man Gerard Malanga, this rare issue contains 217 pages of what poet Jerome Rothenberg calls ""the vortex"" of democratic art community, the politics of which was ""simultaneously affirmative and at odds with"" American culture. Major poets (Jean Garrique, James Merrill) sit beside soon-to-be's (Frank O'Hara, May Swenson), musicians (Lou Reed, John Cale), and Warhol's ""Factory Girls"" (Ingrid Superstar, Neko). The issue synced with screenings of new Warhol films in 1968 at the publisher's barn in Eugene, Oregon.",,2020-061,notcat2290_2290_intransitAndyWarhol_001,"This is an adhesive bound booklet composed of highly acidic and brittle newsprint. It was published in 1968 by Andy Warhol and Gerard Malanga at Toad Press in Eugene, Oregon. There are 114 poems and writings by various contributors. Writing are printed throughout in black ink with some accompanied by halftone photographic portraits, printed in either full blue, pink, purple, or black ink. The spine adhesive has failed and the pages are loose, separating into single sheets. The cover is fully detached and torn along the upper joint and cannot be handled in its current state. Conservation staff will fully disbind the sheets and reduce the spine adhesive remaining on the cover. The cover and pages will be immersion washed to reduce overall acidity in the paper and sized to impart flexibility. The edges of torn pages and the cover will be repaired. After washing, one of two treatment options will be selected: either the book will be rebound into a reversible adhesive bound structure (replicating its original format), or if the pages remain brittle and inflexible, the pages will be reformatted. Each sheet will be encapsulated and bound together in a new binding, retaining a book-like format while protecting the pages from handling. The treated booklet will be housed in a cloth covered clamshell.","$1000 or $3,500 (extra cost if treatment is encapsulated binding)",2020,0,
